Number of transactions,S (number of threads),P (share of parallelized program),Time in ms,Expected Amdhal Speedup,Real Speedup
1,1,0.8886719,1,1,1
2,1,0.8164948,1,1,1
2,2,0.8164948,1,1.6898954,1
4,1,0.7541478,1,1,1
4,2,0.7541478,1,1.6053268,1
4,4,0.7541478,1,2.3020835,1
8,1,0.7215927,3,1,1
8,2,0.7215927,2,1.5644466,1.5
8,4,0.7215927,1,2.179573,3
8,8,0.7215927,1,2.7129211,3
16,1,0.6875974,4,1,1
16,2,0.6875974,3,1.5239226,1.3333334
16,4,0.6875974,2,2.0648274,2
16,8,0.6875974,2,2.510341,2
16,16,0.6875974,2,2.8139098,2
32,1,0.6647758,7,1,1
32,2,0.6647758,5,1.4978758,1.4
32,4,0.6647758,4,1.9943434,1.75
32,8,0.6647758,3,2.3905077,2.3333333
32,16,0.6647758,4,2.6541202,1.75
32,32,0.6647758,4,2.809001,1.75
64,1,0.6544733,13,1,1
64,2,0.6544733,9,1.4864068,1.4444444
64,4,0.6544733,7,1.964077,1.8571428
64,8,0.6544733,6,2.3400798,2.1666667
64,16,0.6544733,6,2.5877821,2.1666667
64,32,0.6544733,7,2.7323973,1.8571428
64,64,0.6544733,9,2.8109405,1.4444444
128,1,0.65150344,27,1,1
128,2,0.65150344,19,1.4831332,1.4210526
128,4,0.65150344,14,1.9555218,1.9285715
128,8,0.65150344,12,2.3259356,2.25
128,16,0.65150344,13,2.5692706,2.0769231
128,32,0.65150344,13,2.7110848,2.0769231
128,64,0.65150344,15,2.7880294,1.8
128,128,0.65150344,17,2.828163,1.5882353
256,1,0.6326462,50,1,1
256,2,0.6326462,36,1.4626793,1.3888888
256,4,0.6326462,28,1.9028941,1.7857143
256,8,0.6326462,25,2.23997,2
256,16,0.6326462,25,2.4576414,2
256,32,0.6326462,25,2.5831516,2
256,64,0.6326462,27,2.65084,1.8518518
256,128,0.6326462,29,2.6860323,1.7241379
256,256,0.6326462,35,2.7039812,1.4285715
512,1,0.616171,96,1,1
